,img_index,images,date_index,time,phase,Magnitude,Magnitude error
0,0,data/20210319/UZCom-2-RA.wcs.proc.fits,0.0,2021-03-19 16:19:54.110,0.0,13.624328201293945,0.4258151586250922
1,1,data/20210319/UZcom-3-RA.wcs.proc.fits,0.0,2021-03-19 16:22:22.110,0.002324423478898532,14.027515051269532,0.3861353469211369
2,2,data/20210319/UZcom-4-RA.wcs.proc.fits,0.0,2021-03-19 17:25:11.110,0.06151869437057803,13.910750349807742,0.3404720289716988
3,3,data/20210319/UZCom-1-RA.wcs.proc.fits,0.0,2021-03-19 17:27:03.110,0.06327771754379855,13.608995025634766,0.4475736621436226
4,4,data/20210322/UZCom-5-RA.wcs.proc.fits,1.0,2021-03-22 16:20:02.120,0.07100800244976657,13.708155758666994,0.34407805128657376
5,5,data/20210322/UZCom-2-RA.wcs.proc.fits,1.0,2021-03-22 16:21:42.120,0.07257855885442765,13.652346939849856,0.35964979045830836
6,6,data/20210322/UZCom-7-RA.wcs.proc.fits,1.0,2021-03-22 17:20:05.120,0.1275951497097081,13.798231767272949,0.5116227162962786
7,7,data/20210322/UZCom-3-RA.wcs.proc.fits,1.0,2021-03-22 18:20:04.120,0.18411947471346402,14.001389741516114,0.43535956029054984
8,8,data/20210322/UZCom-1-RA.wcs.proc.fits,1.0,2021-03-22 18:21:46.120,0.18572144224621834,13.77622429046631,0.39852566014284324
9,9,data/20210322/UZCom-11-RA.wcs.proc.fits,1.0,2021-03-22 19:20:02.120,0.24062809415317243,14.338541744995116,0.34266955480898365
10,10,data/20210322/UZCom-12-RA.wcs.proc.fits,1.0,2021-03-22 19:21:42.120,0.2421986505578344,13.824494704437257,0.32377796221341026
11,11,data/20210322/UZCom-8-RA.wcs.proc.fits,1.0,2021-03-22 20:20:06.120,0.29723094697716146,13.7717978225708,0.4490180237954487
12,12,data/20210322/UZCom-9-RA.wcs.proc.fits,1.0,2021-03-22 20:22:28.120,0.29946113707178057,14.023998292160034,0.3934116181101094
13,13,data/20210322/UZCom-10-RA.wcs.proc.fits,1.0,2021-03-22 21:22:27.120,0.3559854620755356,14.032913451766966,0.4038698357031007
14,14,data/20210322/UZCom-6-RA.wcs.proc.fits,1.0,2021-03-22 21:24:07.120,0.3575560184801967,13.704237495422362,0.43628101563128263
15,15,data/20210326/UZCom-5-RA.wcs.proc.fits,2.0,2021-03-26 16:30:26.120,0.5086512089238564,13.64477493667603,0.11487527178209411
16,16,data/20210326/UZCom-2-RA.wcs.proc.fits,2.0,2021-03-26 16:32:05.120,0.5102060597644709,13.975133284759522,0.35267731332878527
17,17,data/20210326/UZCom-7-RA.wcs.proc.fits,2.0,2021-03-26 17:30:14.120,0.5650027727230995,13.996034651184083,0.5216791842427106
18,18,data/20210326/UZCom-4-RA.wcs.proc.fits,2.0,2021-03-26 17:31:57.120,0.5666204458199005,13.990255509948732,0.42226514349957445
19,19,data/20210326/UZCom-3-RA.wcs.proc.fits,2.0,2021-03-26 18:30:03.120,0.6213700420863884,13.67059083404541,0.47305765001388933
20,20,data/20210326/UZCom-1-RA.wcs.proc.fits,2.0,2021-03-26 18:31:45.120,0.6229720096191436,13.943615490722657,0.36580143106778196
21,21,data/20210326/UZCom-11-RA.wcs.proc.fits,2.0,2021-03-26 19:30:03.120,0.6779100726541909,15.08823860168457,1.9574920582309367
22,22,data/20210326/UZCom-12-RA.wcs.proc.fits,2.0,2021-03-26 20:30:00.120,0.7344029865298527,13.675278240966797,0.0029125267174094915
23,23,data/20210326/UZCom-8-RA.wcs.proc.fits,2.0,2021-03-26 20:32:17.120,0.7365546488042387,13.55247398071289,0.28710362983221666
24,24,data/20210326/UZCom-9-RA.wcs.proc.fits,2.0,2021-03-26 20:34:00.120,0.7381723219010397,13.679131217193603,0.3370236857497073
25,25,data/20210326/UZCom-10-RA.wcs.proc.fits,2.0,2021-03-26 22:30:00.120,0.8474830476654578,13.521796868896484,0.372841836385334
26,26,data/20210326/UZCom-6-RA.wcs.proc.fits,2.0,2021-03-26 22:31:42.120,0.8490850151982112,13.65059711837769,0.11559562576181998
27,27,data/20210410/20210410192948-643-RA.wcs.proc.fits,3.0,2021-04-10 18:29:47.871,0.9755415523490036,14.16268742980957,0.5318666541421048
28,28,data/20210410/20210410183126-962-RA.wcs.proc.fits,3.0,2021-04-10 18:31:26.962,0.9770978323959483,14.026867116165164,0.4879129555786633
29,29,data/20210410/20210410182947-871-RA.wcs.proc.fits,3.0,2021-04-10 19:29:48.643,0.03209370761225472,14.301124900817872,0.5118279963972441
30,30,data/20210410/20210410193127-709-RA.wcs.proc.fits,3.0,2021-04-10 19:31:27.709,0.033649595020094125,14.237624805450437,0.5490333636230545
31,31,data/20210411/20210411170514-154-RA.wcs.proc.fits,4.0,2021-04-11 15:59:33.003,0.19091869923050453,14.34444284706116,0.55985799616095
32,32,data/20210411/20210411155933-003-RA.wcs.proc.fits,4.0,2021-04-11 16:01:12.083,0.1924748065162447,14.225940922546386,0.5074252721096209
33,33,data/20210411/20210411160112-083-RA.wcs.proc.fits,4.0,2021-04-11 17:05:14.154,0.2528166986783731,14.167289657974244,0.5531447567701244
34,34,data/20210411/20210411170653-233-RA.wcs.proc.fits,4.0,2021-04-11 17:06:53.233,0.25437279025854664,14.412840003967283,0.5726317156219224
